miRNA	SRR34661416	SRR34661417	SRR34661418	SRR34661419	SRR34661420	SRR34661421	SRR34661422	SRR34661423	SRR34661424	SRR34661425	SRR34661426	SRR34661427	SRR34661428	SRR34661429	SRR34661430	SRR34661431	SRR34661432	SRR34661433	SRR34661434	SRR34661435	SRR34661436	SRR34661437	SRR34661438	SRR34661439	SRR34661440	SRR34661441	SRR34661442	SRR34661443
mmu-let-7g-5p	2686	1716	776	1445	2725	1655	1950	1401	40474	47851	54250	76339	25485	11509	68189	54359	5835	11827	8681	9549	4798	8812	7763	11613	8296	2320	6278	3341
mmu-let-7g-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	5	0	0	0	0	0	0	2	2
mmu-let-7i-5p	7450	5088	2436	3894	5009	4578	4908	2955	11300	11183	15499	16805	6124	3953	13869	10901	1402	2853	2047	2271	1223	2314	1584	2706	1963	401	1329	1075
mmu-let-7i-3p	5	10	0	2	6	0	4	12	3	8	8	17	0	5	9	8	6	20	20	14	9	29	14	34	17	3	26	15
mmu-miR-1a-1-5p	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	1	2	1	0	0	0	4	0	0	0
mmu-miR-1a-3p	3474	9582	1062	1056	2302	1893	1674	7918	3006	3115	2110	4583	469	199	7269	8621	319	1506	1710	2110	1424	853	1561	1790	5875	286	1221	4220
mmu-miR-15b-5p	4333	2918	744	1677	5203	1855	3431	2275	12322	19603	17798	21957	24541	18843	22616	12892	14424	20667	22147	18012	15148	19858	25256	34998	18618	2658	18767	3542
mmu-miR-15b-3p	18	11	1	9	32	3	26	6	5	13	32	37	11	4	25	14	33	56	38	28	38	49	51	58	40	5	30	25
mmu-miR-23b-5p	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	2	1	2	6	2	0	0	0	0
mmu-miR-23b-3p	289	185	126	165	303	219	262	170	334	465	486	543	394	172	691	450	801	1452	1438	1662	763	1032	1142	1444	1794	207	1039	350
mmu-miR-27b-5p	0	0	0	0	0	0	0	0	30	9	23	24	10	4	50	42	1	7	0	2	2	2	0	3	3	0	2	4
mmu-miR-27b-3p	1800	1293	158	559	2253	1259	1110	985	130	293	265	433	152	70	430	287	975	1951	1629	1440	622	1231	1009	1405	1927	279	1143	849
mmu-miR-29b-1-5p	0	0	0	0	0	0	0	0	0	0	8	8	0	0	1	3	0	1	0	0	1	2	3	1	4	0	0	1
mmu-miR-29b-3p	528	509	34	138	1001	490	471	478	533	1994	2416	3424	512	328	4389	3675	1035	2615	1702	1797	699	2047	1008	1593	2228	576	2619	1630
mmu-miR-30a-5p	6149	4378	838	2121	7678	4219	5038	5257	4855	5389	6839	8376	5134	2808	9324	7979	3839	5674	5377	4261	2519	5813	3338	6483	6712	831	5878	1522
mmu-miR-30a-3p	1222	961	308	691	1759	907	1114	838	2014	2243	2267	3471	1924	846	3311	2375	537	971	874	743	398	993	861	1145	1067	170	894	550
mmu-miR-30b-5p	2724	1487	187	559	4789	1259	1634	2309	867	2584	2766	2929	2498	1690	3220	2130	5882	7616	8569	4233	3092	7612	6983	9532	8127	954	8048	882
mmu-miR-30b-3p	25	17	8	19	26	30	43	42	41	56	66	87	31	24	84	71	13	17	4	10	6	6	16	27	5	1	15	7
mmu-miR-99a-5p	792	663	243	472	972	866	779	715	2028	1685	2603	2212	721	406	4186	3915	604	1397	1320	2730	627	1100	1595	1431	1800	474	1297	1786
mmu-miR-99a-3p	0	0	0	0	2	0	0	0	1	0	2	3	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-99b-5p	735	732	802	444	595	1078	610	634	1008	856	901	1586	708	401	1152	1160	141	312	313	520	209	210	316	437	539	58	246	333
mmu-miR-99b-3p	15	12	20	25	14	16	17	5	22	21	13	18	22	10	22	23	1	14	6	8	2	0	5	1	3	1	7	8
mmu-miR-101a-5p	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	1	2	4	1	0	0	1	6	0	2	5
mmu-miR-101a-3p	187	146	5	21	283	136	132	160	3	47	37	69	29	21	78	51	168	547	347	360	137	365	226	288	566	108	765	255
mmu-miR-124-5p	0	3	0	0	0	3	1	1	3	1	0	1	2	1	0	1	1	0	4	1	4	1	0	1	1	0	2	3
mmu-miR-124-3p	14	3	4	2	9	7	18	4	110	110	100	111	394	157	167	95	349	279	477	211	233	308	408	458	237	56	324	36
mmu-miR-125a-5p	2309	2547	4090	1731	2041	3589	2343	1422	1921	2016	2100	3447	1272	759	3056	2793	581	1888	1520	3852	1850	1446	1569	1949	2898	422	1233	1750
mmu-miR-125a-3p	7	2	12	6	4	8	3	6	76	49	63	68	56	25	59	53	1	8	2	9	0	4	3	8	7	5	6	11
mmu-miR-125b-5p	13509	19830	16984	11517	20730	30134	18917	13817	7175	11563	10679	17684	3577	2446	19661	14233	4265	10736	9061	21511	12028	10322	9424	13897	16649	2787	8010	11903
mmu-miR-125b-2-3p	54	43	31	54	43	45	40	31	9	16	24	24	5	5	18	21	16	46	20	37	14	29	23	30	62	8	40	42
mmu-miR-126a-5p	1247	144	37	95	226	432	145	173	202	382	307	596	181	76	636	445	108	205	231	367	102	102	123	193	725	25	108	55
mmu-miR-126a-3p	10614	1701	718	1773	2259	7936	1942	2053	3793	3392	3366	3947	1353	690	5383	3695	564	909	1079	2095	525	540	577	944	3527	134	435	342
mmu-miR-127-5p	4	0	0	0	2	5	2	1	1	2	0	0	0	0	2	3	1	0	0	3	2	2	0	1	2	0	0	2
mmu-miR-127-3p	201	158	97	107	159	237	153	93	298	140	129	173	141	46	148	154	32	50	102	92	44	49	193	411	126	6	32	45
mmu-miR-128-1-5p	4	2	4	1	0	2	2	1	3	1	2	0	0	0	0	0	0	1	0	0	1	1	1	2	2	0	2	1
mmu-miR-128-3p	1575	1345	429	1079	1902	815	1377	963	479	741	727	1005	881	734	868	546	1874	2267	2291	1838	1344	2036	2001	3075	1711	363	1681	511
mmu-miR-130a-5p	0	0	0	0	0	0	3	4	1	4	1	2	2	0	1	0	2	6	4	0	0	2	0	1	2	1	2	0
mmu-miR-130a-3p	792	578	329	394	1122	886	830	874	3647	7455	5606	7932	6224	4139	7070	5441	922	1598	1589	1166	796	1174	1327	1812	1853	229	1824	313
mmu-miR-9-5p	609	319	60	147	531	173	305	119	48	98	104	140	111	82	145	89	467	886	710	581	323	722	472	987	728	157	608	350
mmu-miR-9-3p	121	56	17	19	88	35	51	26	77	164	124	142	265	138	153	91	271	287	307	168	139	309	234	341	226	53	291	60
mmu-miR-132-5p	8	4	0	7	10	2	5	2	6	5	11	8	13	2	14	6	32	21	20	32	17	33	37	52	23	5	24	7
mmu-miR-132-3p	1	0	0	5	0	2	0	1	10	14	19	9	9	9	21	13	11	32	55	46	31	57	52	82	44	2	43	12
mmu-miR-133a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
mmu-miR-133a-3p	46	146	23	17	18	24	28	60	13	16	20	25	6	1	45	52	40	97	189	142	148	54	105	96	496	8	83	45
mmu-miR-134-5p	34	13	31	16	15	65	23	10	3	5	7	4	2	0	9	5	2	7	13	2	1	2	18	31	3	1	2	1
mmu-miR-134-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
mmu-miR-135a-5p	8	7	5	7	12	12	18	7	3	8	14	7	15	10	10	12	308	525	401	307	143	379	281	477	477	88	432	199
mmu-miR-135a-1-3p	0	0	0	0	0	0	4	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0
mmu-miR-136-5p	0	0	0	0	0	0	4	1	0	2	0	0	0	0	1	2	1	7	3	6	0	2	10	1	5	0	5	1
mmu-miR-136-3p	2	1	0	2	9	0	2	1	0	3	1	3	2	0	0	3	0	2	2	11	0	5	6	12	5	1	3	5
mmu-miR-137-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	1
mmu-miR-137-3p	7	4	0	0	18	13	8	5	23	29	73	72	12	14	178	148	13	128	104	120	71	55	16	18	287	17	61	16
mmu-miR-138-5p	11	1	10	7	0	2	4	0	86	106	91	103	89	45	132	166	24	39	24	20	9	17	30	16	23	1	33	17
mmu-miR-138-2-3p	3	0	6	1	0	0	0	0	0	2	0	2	0	2	1	2	6	3	2	1	3	7	6	1	1	2	5	0
mmu-miR-140-5p	47	26	20	4	67	28	77	34	21	71	63	75	35	17	56	43	77	103	115	59	51	102	58	115	114	13	122	18
mmu-miR-140-3p	1062	806	360	638	912	672	927	545	87	275	195	261	184	250	200	119	249	299	356	216	196	315	222	409	268	31	264	73
mmu-miR-141-5p	26	61	0	25	77	28	24	44	53	64	101	146	36	21	175	175	9	65	17	27	32	47	6	21	8	13	19	35
mmu-miR-141-3p	1048	1377	89	431	2692	2099	1564	1559	2571	5881	7613	10454	2201	989	13755	12641	1316	3968	2374	3247	927	2883	1381	2298	3174	805	4322	2190
mmu-miR-142a-5p	158	242	44	22	397	157	176	308	102	1337	729	1816	369	651	1738	383	502	835	1062	369	350	698	729	639	786	159	1510	86
mmu-miR-142a-3p	188	154	15	16	245	120	122	116	111	948	731	1571	223	224	1478	389	758	1390	1619	609	550	1390	1066	1178	1037	258	1608	147
mmu-miR-144-5p	132	132	17	18	130	77	123	279	4	17	33	29	1	13	19	2	222	159	580	65	276	730	397	708	138	16	43	45
mmu-miR-144-3p	3	4	0	0	10	2	0	3	19	353	599	673	211	389	471	94	95	56	225	25	86	210	165	100	54	3	72	12
mmu-miR-145a-5p	1600	1840	1539	1310	3737	2405	2255	2820	8876	4949	4335	7311	1654	1194	10778	8042	1246	5320	8538	6979	3612	2674	2821	2142	13633	765	2769	1942
mmu-miR-145a-3p	6	8	0	0	30	6	12	9	37	27	22	71	12	3	136	80	18	144	119	129	47	55	34	36	227	12	43	29
mmu-miR-146a-5p	2001	2193	1115	979	2054	2035	1015	1569	246	602	525	839	72	58	712	441	372	673	481	684	455	571	750	579	565	131	475	334
mmu-miR-146a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-149-5p	15	3	10	8	18	4	6	19	96	54	60	103	90	23	114	93	18	19	41	56	30	32	67	71	51	2	20	10
mmu-miR-149-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-150-5p	594	664	570	304	465	344	181	422	1498	3370	1432	5077	477	918	2398	446	491	560	888	633	1799	1156	1837	1179	684	192	536	219
mmu-miR-150-3p	3	2	0	0	4	0	0	0	5	9	4	15	0	2	6	0	0	0	0	1	0	0	0	0	1	0	2	0
mmu-miR-151-5p	283	246	53	80	515	320	291	504	12828	11604	8504	13722	22208	9243	10617	7622	610	764	1114	700	482	712	1629	1275	910	126	1106	138
mmu-miR-151-3p	34	34	22	6	28	33	19	19	18	21	37	35	31	17	53	50	28	52	32	73	25	46	51	71	37	8	64	54
mmu-miR-152-5p	18	2	0	3	13	4	0	7	0	0	0	1	1	0	1	0	3	6	3	9	3	2	6	7	5	1	5	6
mmu-miR-152-3p	702	641	143	190	1336	1352	494	743	14	72	58	92	9	12	80	75	201	761	421	554	318	474	347	579	676	173	442	497
mmu-miR-153-5p	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	2	0	3	2	3	0	1	0	1	1
mmu-miR-153-3p	0	3	0	0	0	0	1	0	0	4	0	0	1	1	1	1	1	6	8	3	3	7	1	9	8	2	17	1
mmu-miR-154-5p	4	1	6	2	7	0	10	3	41	36	34	40	22	13	67	51	6	21	23	16	3	8	19	33	11	2	15	1
mmu-miR-154-3p	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	7	8	2	1	1	0
mmu-miR-155-5p	157	112	40	74	129	123	110	71	639	1100	942	1333	144	122	1400	706	77	188	155	164	108	177	138	195	146	40	103	116
mmu-miR-155-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-10b-5p	4524	4334	1901	3238	6930	5168	4502	4870	7879	11852	16982	19397	4228	2257	27431	22536	2475	6195	5421	10895	2720	5571	5159	6691	9446	1870	5869	8886
mmu-miR-10b-3p	90	117	43	56	186	130	113	101	41	77	111	148	28	14	158	129	10	48	36	69	24	53	20	55	61	17	37	47
mmu-miR-129-5p	53	21	4	13	9	10	9	11	10	10	7	14	22	5	12	13	6	3	3	10	5	0	4	0	1	0	1	1
mmu-miR-129-1-3p	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	4	0	0	2	0	0	1	0	0	0	0
mmu-miR-181a-5p	145	103	69	62	108	109	58	66	384	282	182	352	168	84	377	280	32	128	203	260	118	78	152	106	204	21	113	103
mmu-miR-181a-2-3p	1	3	0	1	0	10	3	1	6	5	6	16	8	6	5	6	0	5	4	2	2	9	3	6	2	0	2	4
mmu-miR-182-5p	2976	2737	1431	2189	4304	4252	2578	1877	2192	4509	4212	5796	607	581	8810	5675	737	1758	1021	1710	929	1695	1312	1977	1506	467	1260	1406
mmu-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	1	3	0	0	6
mmu-miR-183-5p	1088	947	481	868	1419	940	865	514	403	586	668	868	137	108	1238	870	353	562	568	659	462	628	677	957	573	141	515	419
mmu-miR-183-3p	3	1	5	5	4	1	2	5	146	191	230	291	25	26	393	295	9	7	4	12	9	7	16	18	8	0	5	7
mmu-miR-184-5p	2	0	0	1	1	1	0	0	1	1	0	4	0	0	1	0	0	0	5	1	1	1	1	1	1	0	2	0
mmu-miR-184-3p	11536	8177	8766	8992	9148	6909	11859	4955	3550	3220	2248	2410	6143	2393	2201	1469	4673	5014	5389	4141	3636	5264	5784	6783	4388	744	4133	1553
mmu-miR-185-5p	163	111	88	97	120	142	121	103	703	935	964	1025	664	310	1236	968	155	184	190	139	106	145	150	226	144	31	122	204
mmu-miR-185-3p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	3	2	0	1	0	0
mmu-miR-186-5p	82	31	14	25	64	45	72	52	57	128	246	218	96	110	187	132	227	232	306	134	96	306	213	306	211	44	201	58
mmu-miR-186-3p	6	17	0	8	14	15	14	9	0	0	1	1	0	0	1	0	4	10	16	9	5	10	8	12	7	4	10	6
mmu-miR-187-5p	6	4	4	0	0	1	0	0	1	1	0	1	0	0	4	3	0	1	1	1	0	0	3	1	0	0	0	2
mmu-miR-187-3p	108	104	44	45	104	153	140	129	447	555	889	941	107	74	984	886	20	110	53	81	24	73	34	60	80	22	61	96
mmu-miR-188-5p	0	0	0	0	0	5	3	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
mmu-miR-188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	3	1	0	0	0	0
mmu-miR-24-1-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-24-3p	315	204	163	145	327	335	239	256	589	965	1011	1444	316	221	1417	1157	339	884	814	980	563	615	415	711	1412	140	545	618
mmu-miR-190a-5p	3	3	0	2	13	10	11	2	0	1	1	0	0	2	1	2	52	125	97	74	24	67	45	49	101	26	134	11
mmu-miR-190a-3p	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	3	2	1	0	2	8	4	6	5	0	2	1
mmu-miR-191-5p	79782	77420	60912	71754	92323	69505	83785	60091	80990	113265	73517	116780	167842	91725	97812	65874	37439	37965	41566	31724	31983	40499	44123	62441	30343	6576	30963	5706
mmu-miR-191-3p	28	29	17	29	41	10	34	16	22	26	36	45	36	22	48	32	57	120	88	83	55	129	65	163	68	14	62	33
mmu-miR-193a-5p	17	22	28	32	21	38	20	20	46	86	110	135	9	13	130	98	2	18	3	24	31	15	14	18	13	5	13	32
mmu-miR-193a-3p	0	3	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	3	0	3	0	0	1	0	1	1	1	0
mmu-miR-194-5p	483	323	126	243	449	287	432	263	88	166	122	178	150	136	186	107	648	1050	970	581	510	913	736	1267	848	116	843	244
mmu-miR-194-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-195a-5p	614	287	160	325	393	256	339	185	155	331	256	315	374	246	482	339	967	1467	1129	1000	692	1085	1147	1450	1017	222	965	253
mmu-miR-195a-3p	11	0	0	0	6	7	1	4	0	2	3	2	0	0	6	2	4	10	7	10	2	5	7	5	2	0	6	0
mmu-miR-199a-5p	110	70	16	58	149	147	97	109	86	196	160	222	55	36	246	178	95	368	159	203	49	114	203	129	279	47	217	79
mmu-miR-199a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-200b-5p	80	154	102	82	149	120	109	126	220	240	246	375	42	47	464	352	33	99	69	121	80	72	70	118	83	22	65	165
mmu-miR-200b-3p	1005	1425	276	718	2850	2115	1376	1606	1932	2886	5802	4947	379	311	6063	4949	2136	6291	3891	6082	2880	6037	3279	6800	4591	1573	4836	5271
mmu-miR-201-5p	1	0	0	0	0	2	0	0	0	1	1	0	2	0	2	1	3	13	1	3	1	4	4	1	4	0	1	2
mmu-miR-201-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-202-5p	49	11	0	5	36	11	17	5	1	8	2	13	11	4	7	7	93	135	64	79	17	102	76	53	106	12	106	83
mmu-miR-202-3p	46	26	18	16	12	19	10	10	60	175	37	66	298	76	82	62	24	17	25	29	20	21	38	19	15	1	14	17
mmu-miR-203-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-203-3p	836	530	167	399	758	855	593	705	37	73	120	141	34	17	143	134	184	405	482	439	129	245	416	391	471	80	273	305
mmu-miR-204-5p	18	11	2	13	19	31	16	10	24	18	16	25	41	7	14	30	30	42	46	40	22	52	62	84	64	4	50	31
mmu-miR-204-3p	0	2	0	2	6	1	0	0	15	1	5	10	18	3	0	3	2	0	0	1	4	1	0	2	3	1	1	0
mmu-miR-205-5p	203	300	103	230	319	266	320	313	399	625	724	902	132	127	1543	1538	399	875	725	2057	438	792	707	869	1523	226	997	2328
mmu-miR-205-3p	4	0	0	2	0	1	1	0	9	15	16	17	2	2	15	16	0	4	1	0	1	5	0	1	0	1	0	4
mmu-miR-206-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-206-3p	786	3172	791	429	128	177	267	1911	83	85	4	50	8	0	13	885	10	55	46	14	122	8	230	186	238	3	62	1692
mmu-miR-207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-122-5p	2736	3131	1202	1142	1344	5500	5321	2450	24195	3837	4387	10159	5202	3163	4966	1595	35	1211	188	328	91	56	1085	1257	500	117	229	570
mmu-miR-122-3p	1	1	0	0	0	1	0	0	8	2	2	4	7	3	4	1	0	11	4	4	0	1	5	7	3	1	3	4
mmu-miR-143-5p	44	63	6	8	77	93	41	58	0	3	0	8	0	0	6	4	16	132	163	125	107	77	23	38	467	17	51	39
mmu-miR-143-3p	13725	9740	4668	6609	14560	12780	12280	6567	85332	33675	19304	40443	10207	4973	83006	53092	4277	20146	24043	20171	7486	9115	6148	6939	42090	2655	9213	1997
mmu-miR-30e-5p	1772	1080	134	416	2447	1100	1131	1476	869	1884	1694	2487	2300	1445	2976	2145	2250	3232	3419	1705	1315	3164	2096	3535	3483	531	4040	586
mmu-miR-30e-3p	646	487	118	272	990	422	515	539	958	1309	1083	1939	1393	663	1689	1045	417	768	694	445	306	749	640	893	867	121	701	255
mmu-miR-290a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	9	0	0	0	0
mmu-miR-290a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291a-5p	0	3	0	0	1	6	0	0	3	3	1	3	8	5	3	1	4	0	3	8	1	3	3	11	1	0	2	0
mmu-miR-291a-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	3	0	0	4	0
mmu-miR-292a-5p	18	5	8	7	0	2	6	1	9	6	3	5	17	8	6	2	22	24	22	16	14	26	22	128	21	1	21	4
mmu-miR-292a-3p	2	0	0	0	0	0	4	1	2	6	5	2	12	9	3	2	1	1	8	5	3	12	14	16	5	1	8	2
mmu-miR-293-5p	0	0	0	0	6	5	5	2	0	0	1	0	0	0	0	1	16	38	21	17	13	39	22	49	41	8	48	4
mmu-miR-293-3p	3	0	0	0	0	0	0	0	95	141	94	120	217	121	105	64	4	6	10	2	3	3	2	4	4	1	7	1
mmu-miR-294-5p	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	3	1	0	0	0	4	2	2	3	0	1	0
mmu-miR-294-3p	0	2	0	6	0	0	0	0	6	23	12	14	30	11	10	9	12	17	22	18	13	22	26	68	17	7	25	9
mmu-miR-295-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0
mmu-miR-295-3p	10	3	0	2	0	4	2	1	0	0	0	1	0	0	1	0	61	77	77	36	20	87	77	158	78	12	53	8
mmu-miR-296-5p	228	180	189	69	135	90	166	53	71	151	68	115	251	252	98	56	537	743	631	807	1008	906	1377	1268	641	156	831	168
mmu-miR-296-3p	34	18	11	30	14	34	21	21	2	8	9	10	22	16	3	1	10	4	9	19	3	12	32	5	14	5	19	11
mmu-miR-297a-5p	0	0	0	0	0	2	0	0	3	5	2	4	5	2	11	4	1	2	3	3	2	1	1	5	4	0	7	0
mmu-miR-298-5p	127	118	162	77	78	88	95	36	75	45	24	38	207	81	47	26	51	29	72	41	38	42	63	67	35	4	45	18
mmu-miR-298-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0
mmu-miR-299a-5p	2	2	14	1	4	7	7	12	13	27	29	59	16	10	53	60	9	25	13	35	18	19	19	63	36	6	19	3
mmu-miR-299a-3p	13	8	0	8	7	13	20	3	6	5	11	4	10	1	9	6	2	3	3	3	1	2	8	7	5	1	3	0
mmu-miR-300-5p	0	3	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1
mmu-miR-300-3p	19	18	15	5	8	13	10	4	14	10	19	26	15	9	26	18	10	11	12	4	7	3	20	63	18	0	8	4
mmu-miR-301a-5p	0	5	0	0	15	4	3	4	0	1	0	2	1	0	0	0	9	22	15	12	5	16	11	32	14	2	16	2
mmu-miR-301a-3p	179	121	19	39	299	149	142	176	4	70	45	59	64	46	80	42	588	774	1028	464	303	670	841	703	964	147	1444	118
mmu-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302a-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-34c-5p	14101	5326	2367	4607	6676	5261	8222	3953	8434	14422	13364	10821	20366	11262	17862	15108	33538	51540	48164	34418	20186	38824	38572	44109	45266	8288	57625	11121
mmu-miR-34c-3p	1490	820	1212	1362	818	574	1236	475	351	702	564	465	1598	1108	605	413	4926	4725	4564	4431	2794	4209	6274	5690	2708	735	3424	587
mmu-miR-34b-5p	432	142	94	208	265	165	275	146	33	168	154	152	151	129	226	195	4547	7530	7743	4945	2891	6037	6989	6001	8596	1647	14901	2196
mmu-miR-34b-3p	2611	1506	1571	2616	2134	846	2120	1186	777	1071	1105	922	2491	1512	1148	728	17940	21069	22061	19730	12488	22857	32943	34040	15769	3532	18029	2968
mmu-let-7d-5p	1988	1539	1646	1704	1502	1328	1692	863	29600	27119	33463	36251	13702	7348	38237	32353	1902	3395	2948	4568	1991	2598	3111	3824	2920	617	1936	1467
mmu-let-7d-3p	143	209	76	59	203	112	149	143	90	307	223	630	131	142	433	277	189	253	280	267	363	263	481	375	326	62	332	103
mmu-miR-106a-5p	0	2	0	0	0	2	0	1	8	22	11	14	2	3	13	11	1	0	2	0	0	0	1	1	3	0	0	0
mmu-miR-106a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-106b-5p	5	9	0	0	3	0	0	1	15	98	137	142	25	65	105	72	9	11	25	0	11	45	19	32	21	5	18	8
mmu-miR-106b-3p	970	599	475	762	585	367	809	305	78	118	117	94	165	115	106	82	663	735	1005	874	788	897	960	1428	648	135	733	145
mmu-miR-130b-5p	7	3	4	5	4	2	2	4	7	9	11	12	17	6	8	3	64	105	97	78	53	97	137	200	88	23	94	36
mmu-miR-130b-3p	197	172	67	144	325	144	214	180	868	1312	1012	1441	1501	881	1019	621	225	273	303	204	210	302	278	478	280	41	340	45
mmu-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-19b-3p	2624	1472	221	642	3258	1538	1861	2277	109	680	476	858	1525	1332	958	517	10757	15592	18749	8196	8203	17664	11468	20421	21819	2821	30189	2450
mmu-miR-30c-5p	2686	1538	487	990	3908	1697	1709	2299	779	1732	1694	1985	1440	1071	2223	1317	8507	10673	10769	7023	5232	11198	9666	14755	10966	1412	9096	1620
mmu-miR-30c-1-3p	17	19	10	9	27	12	14	22	49	28	27	33	36	15	30	31	14	18	9	8	5	10	15	15	12	3	10	9
mmu-miR-30c-2-3p	288	258	212	268	278	385	315	167	283	211	261	253	190	92	348	232	69	92	96	88	92	109	118	161	86	15	92	77
mmu-miR-30d-5p	13776	10102	4631	7193	11900	8893	11555	9334	7288	8918	8868	10680	9574	6075	10194	8484	10794	10691	15094	11053	10210	12956	15426	21939	13538	1695	12341	2367
mmu-miR-30d-3p	4	10	0	0	12	11	5	6	3	6	2	4	1	5	8	5	4	17	17	7	8	6	14	15	12	1	24	12
mmu-miR-148a-5p	0	0	0	0	2	0	1	1	0	0	1	1	0	0	0	1	5	24	15	12	12	17	7	15	12	5	3	16
mmu-miR-148a-3p	1363	1301	78	173	3732	3408	1266	1237	33	126	155	259	10	27	269	210	2360	8280	4712	6152	2833	7890	3449	7269	5880	2596	6800	4906
mmu-miR-192-5p	424	290	44	101	484	273	331	303	17	55	37	63	42	49	51	22	203	346	340	183	129	294	188	321	304	51	318	82
mmu-miR-192-3p	0	1	0	0	0	2	0	2	1	0	3	0	0	1	2	1	4	3	0	3	0	2	0	3	1	0	0	1
mmu-miR-196a-5p	309	140	108	196	218	273	226	115	439	476	437	579	247	97	578	540	160	249	157	547	52	142	150	207	816	52	77	79
mmu-miR-196a-1-3p	3	1	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
mmu-miR-196a-2-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
mmu-miR-200a-5p	62	106	11	66	185	134	74	131	314	237	278	394	72	67	500	370	7	40	16	31	3	22	15	16	12	6	22	61
mmu-miR-200a-3p	1810	2066	298	914	4358	2917	2181	2586	2269	3828	5116	7286	936	572	9180	8095	1377	3374	2395	3558	1172	3543	1803	3272	3060	896	3525	1882
